image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
kodim14,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.52584129298318,0.9800789842147498,0.1032021045684814,512,512
kodim14,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.407877001457,0.9795449598587588,0.1139421463012695,512,512
kodim14,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.18060858095332,0.9785256205728504,0.1018157005310058,512,512
kodim14,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.93258123193698,0.9773512798901928,0.1004128456115722,512,512
kodim15,0.05,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,40.345652487136896,0.9711650101714868,0.0999448299407959,512,512
kodim15,0.1,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,40.269477406654424,0.9707775090196596,0.1001679897308349,512,512
kodim15,0.2,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,40.09699359457795,0.969862775869404,0.1022708415985107,512,512
kodim15,0.3,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,39.92616775460283,0.9690289645357564,0.1010286808013916,512,512
kodim16,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.821699160310786,0.97690402718008,0.1061677932739257,512,512
kodim16,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.74455459487828,0.9765595016883296,0.1059620380401611,512,512
kodim16,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.600309143330065,0.9758460625409204,0.1028048992156982,512,512
kodim16,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.43829011248032,0.9750456190381014,0.1018488407135009,512,512
kodim17,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.888548911937306,0.9750318736835868,0.103165864944458,512,512
kodim17,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.80200359326348,0.9745916361398926,0.1033411026000976,512,512
kodim17,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.61006032890679,0.9736482019111228,0.1024951934814453,512,512
kodim17,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.43282358713491,0.9727270701706372,0.1021559238433837,512,512
kodim18,0.05,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,38.549814705760184,0.977923587317985,0.102053165435791,512,512
kodim18,0.1,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,38.43437347753326,0.9773970496457668,0.109250783920288,512,512
kodim18,0.2,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,38.22021148242723,0.9763615930249324,0.1014039516448974,512,512
kodim18,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.97200852900432,0.9752300324641626,0.1012711524963378,512,512
kodim19,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.41625762028823,0.9772014758797148,0.1017730236053466,512,512
kodim19,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.314899183432395,0.976772861727902,0.1009879112243652,512,512
kodim19,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.119072604578854,0.9759331422859844,0.1009290218353271,512,512
kodim19,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.9161650264952,0.9750898863591,0.1008167266845703,512,512
kodim20,0.05,fsrcnn,fsrcnn_x4,0.990234375,0.0048828125,40.552250275367136,0.9744455703890657,0.1020557880401611,512,512
kodim20,0.1,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,40.45797093740735,0.9741186332764092,0.1002860069274902,512,512
kodim20,0.2,fsrcnn,fsrcnn_x4,0.994140625,0.0029296875,40.26598266967419,0.9733505875547775,0.1005876064300537,512,512
kodim20,0.3,fsrcnn,fsrcnn_x4,0.99609375,0.001953125,40.07469197824453,0.972617374707572,0.1023437976837158,512,512
