image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim09,kodak,hf,0.1,real_esrgan,0.828125,0.0859375,32.40961228016634,0.9383990821379827,disk_precomputed_canonical
kodim09,kodak,hf,0.1,jpeg_q50,0.802734375,0.0986328125,34.0994522865592,0.9190974361635167,
kodim09,kodak,hf,0.1,gaussian_blur,0.994140625,0.0029296875,30.917644013714487,0.9125779637297206,
kodim10,kodak,standard,0.1,none,0.998046875,0.0009765625,41.755315794164105,0.9783516289297997,
kodim10,kodak,standard,0.1,real_esrgan,0.736328125,0.1318359375,32.42582231444962,0.9358909734789114,disk_precomputed_canonical
kodim10,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,33.20976244422164,0.8944415712474658,
kodim10,kodak,standard,0.1,gaussian_blur,0.966796875,0.0166015625,30.5294370655346,0.8959436636827595,
kodim10,kodak,balanced,0.1,none,1.0,0.0,42.23394390020015,0.9805063718663535,
kodim10,kodak,balanced,0.1,real_esrgan,0.833984375,0.0830078125,32.38870294495261,0.9368716556593447,live_canonical
kodim10,kodak,balanced,0.1,jpeg_q50,0.998046875,0.0009765625,33.295259525373666,0.8986030695668764,
kodim10,kodak,balanced,0.1,gaussian_blur,0.98046875,0.009765625,30.544531816347092,0.8962138319249683,
kodim10,kodak,hf,0.1,none,1.0,0.0,44.14309924043017,0.9840018720974801,
kodim10,kodak,hf,0.1,real_esrgan,0.83203125,0.083984375,32.785964390979416,0.9413497790864608,disk_precomputed_canonical
kodim10,kodak,hf,0.1,jpeg_q50,0.876953125,0.0615234375,33.59676779036801,0.9090494904209631,
kodim10,kodak,hf,0.1,gaussian_blur,0.98828125,0.005859375,30.694411474638827,0.9048324127628019,
kodim11,kodak,standard,0.1,none,1.0,0.0,41.155574087373395,0.9816936387744452,
kodim11,kodak,standard,0.1,real_esrgan,0.849609375,0.0751953125,30.651002306821987,0.9096378599505389,disk_precomputed_canonical
kodim11,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,31.13800387789246,0.8699544228065058,
